time,price
2013-04-29,110.38643140838003
2013-04-30,105.56694767221083
2013-05-01,88.77674750627526
2013-05-02,80.52196470570385
2013-05-03,74.54434530618471
2013-05-04,85.79272477693893
2013-05-05,88.35277358191125
2013-05-06,85.91538753864113
2013-05-07,85.29029297024402
2013-05-08,86.29635402134487
2013-05-09,86.4564135734694
2013-05-10,90.20935725695982
2013-05-11,88.70304511685677
2013-05-12,88.68666615254106
2013-05-13,90.85168901658216
2013-05-14,86.20023192887514
2013-05-15,88.66635710348015
2013-05-16,92.17634440874765
2013-05-17,95.80607429100345
2013-05-18,96.18224384628724
2013-05-19,95.08924925073626
2013-05-20,94.65435642796183
2013-05-21,95.11571890503751
2013-05-22,96.47924611709746
2013-05-23,98.04983512478114
2013-05-24,103.01623893908909
2013-05-25,102.07269584496447
2013-05-26,103.19288421147202
2013-05-27,100.32088078341259
2013-05-28,100.43600124571785
2013-05-29,102.19373014966617
2013-05-30,98.76466219743861
2013-05-31,99.26894959599845
2013-06-01,99.49980996672397
2013-06-02,94.114206415957
2013-06-03,93.52054489407783
2013-06-04,92.89266174657281
2013-06-05,92.96194522839592
2013-06-06,89.11713616796314
2013-06-07,84.37381763147938
2013-06-08,81.9523292105621
2013-06-09,75.74609907589759
2013-06-10,80.25809257725538
2013-06-11,81.81203630522043
2013-06-12,81.0537371849501
2013-06-13,77.85596646204522
2013-06-14,74.91300546585236
2013-06-15,74.91989970367995
2013-06-16,74.5225807954995
2013-06-17,76.1170548224251
2013-06-18,80.1911457671014
2013-06-19,81.50741661019501
2013-06-20,83.28292872061009
2013-06-21,83.49218452154021
2013-06-22,82.57720400439024
2013-06-23,82.09980045331993
2013-06-24,78.22812724565503
2013-06-25,79.50894672498256
2013-06-26,79.90165949600491
2013-06-27,77.8129767259596
2013-06-28,72.74552335673901
2013-06-29,73.01053208508065
2013-06-30,74.27275400759989
2013-07-01,67.37833107725575
2013-07-02,69.478148990632
2013-07-03,59.54685006090389
2013-07-04,62.46183882431329
2013-07-05,53.349185121898635
2013-07-06,54.78856940331552
2013-07-07,58.19629737075106
2013-07-08,59.50384854213549
2013-07-09,60.03914219832521
2013-07-10,66.14821754820865
2013-07-11,67.99633452310377
2013-07-12,71.63240627473918
2013-07-13,75.10630912553036
2013-07-14,72.50482345978297
2013-07-15,75.35625661673818
2013-07-16,74.13525906022667
2013-07-17,75.09911558401951
2013-07-18,69.10811156714327
2013-07-19,70.13392038422258
2013-07-20,68.01864143340232
2013-07-21,68.98023966752785
2013-07-22,69.4541323808579
2013-07-23,72.28328456676674
2013-07-24,71.65820163487032
2013-07-25,73.00535035476449
2013-07-26,72.32070696446392
2013-07-27,70.88649342054163
2013-07-28,75.08919586307984
2013-07-29,76.3082468317314
2013-07-30,81.40358650970114
2013-07-31,79.77291250311347
2013-08-01,78.72823618470856
2013-08-02,78.70236440027382
2013-08-03,78.32881251198822
2013-08-04,79.19855166645286
2013-08-05,80.12370915041346
2013-08-06,80.22696527882158
2013-08-07,80.02248875562218
2013-08-08,76.99783209987292
2013-08-09,77.04991984092176
2013-08-10,77.199820116924
2013-08-11,78.72834970383144
2013-08-12,80.23173695501774
2013-08-13,82.1773220747889
2013-08-14,84.86918228150564
2013-08-15,82.3895115084416
2013-08-16,81.77207839740299
2013-08-17,85.15267461925126
2013-08-18,85.16545359045547
2013-08-19,89.25223130578264
2013-08-20,90.3234233780868
2013-08-21,92.42878789487092
2013-08-22,90.7218822269574
2013-08-23,88.56576939512973
2013-08-24,89.71972957320277
2013-08-25,91.22291951369726
2013-08-26,89.74807487168975
2013-08-27,94.47348767737118
2013-08-28,91.96040403973454
2013-08-29,92.46751238262952
2013-08-30,100.98343709294504
2013-08-31,102.39050314208005
2013-09-01,104.75541143259929
2013-09-02,103.01031703329969
2013-09-03,103.84177683734033
2013-09-04,96.02969985131801
2013-09-05,96.3716749029467
2013-09-06,90.42957007124993
2013-09-07,94.22434845619225
2013-09-08,92.36259008663026
2013-09-09,95.8886546547613
2013-09-10,94.90465339723326
2013-09-11,101.59242845339142
2013-09-12,100.10527474457665
2013-09-13,101.54980117931017
2013-09-14,97.2163716676972
2013-09-15,97.5969419951995
2013-09-16,98.77765370881374
2013-09-17,98.57742113065991
2013-09-18,97.21955277727066
2013-09-19,95.80992750257492
2013-09-20,93.95059970087807
2013-09-21,94.23901812244918
2013-09-22,95.41121341697148
2013-09-23,93.32394557516464
2013-09-24,94.45516627078385
2013-09-25,94.86534567971525
2013-09-26,95.18796239550122
2013-09-27,98.94238501538116
2013-09-28,99.68197528237324
2013-09-29,101.77856553867692
2013-09-30,98.37278106508874
2013-10-01,97.75903607409307
2013-10-02,83.98704632674809
2013-10-03,90.75759598694609
2013-10-04,95.1681871546444
2013-10-05,94.82886032145015
2013-10-06,95.07665094339623
2013-10-07,93.46881852691719
2013-10-08,92.66068539491103
2013-10-09,96.67850454313232
2013-10-10,96.54738750398538
2013-10-11,96.64082236728267
2013-10-12,99.80804905234865
2013-10-13,101.91087862093293
2013-10-14,103.66654686275245
2013-10-15,107.42603956594974
2013-10-16,105.43639278976168
2013-10-17,107.00958513206994
2013-10-18,113.97252756055772
2013-10-19,126.00116791065865
2013-10-20,127.62955968887621
2013-10-21,133.2821349673522
2013-10-22,140.64019344330111
2013-10-23,155.05552378397874
2013-10-24,143.64492444024572
2013-10-25,135.24340947653306
2013-10-26,128.45552544495706
2013-10-27,142.30657957215752
2013-10-28,144.01247773392166
2013-10-29,148.73380831731075
2013-10-30,145.74010729589907
2013-10-31,150.24304021210784
