time,price
2017-07-26,0.08963171046509869
2017-07-27,0.09217744464950965
2017-07-28,0.08858273558605273
2017-07-29,0.09176965991899518
2017-07-30,0.090603659182419
2017-07-31,0.08821289467517042
2017-08-01,0.08456121931431355
2017-08-02,0.08477677307165929
2017-08-03,0.08975088400705117
2017-08-04,0.09132104037055325
2017-08-05,0.10948177202668877
2017-08-06,0.11126125265872801
2017-08-07,0.1261530614361964
2017-08-08,0.19096408655563935
2017-08-09,0.20652269550862515
2017-08-10,0.2965836982759461
2017-08-11,0.332237631788751
2017-08-12,0.37776320143656383
2017-08-13,0.7416917736851772
2017-08-14,1.1003652249934497
2017-08-15,0.9000340965499118
2017-08-16,1.220793344550658
2017-08-17,1.6796020943610395
2017-08-18,2.02721093787628
2017-08-19,1.7800764972660819
2017-08-20,2.1289493215180415
2017-08-21,2.2871379222433816
2017-08-22,2.113324849783969
2017-08-23,2.1840288030662327
2017-08-24,2.0168855694114955
2017-08-25,2.093986951437064
2017-08-26,1.8193223099706959
2017-08-27,1.677983176259316
2017-08-28,1.7078248498990294
2017-08-29,1.9448362091645837
2017-08-30,1.9766590735420806
2017-08-31,1.850680172503455
2017-09-01,2.0107700559917383
2017-09-02,1.6805937029393052
2017-09-03,1.326430927623402
2017-09-04,0.8825849011174525
2017-09-05,0.8166703183629175
2017-09-06,0.9107328832659288
2017-09-07,1.1359607528111797
2017-09-08,0.8367239898907358
2017-09-09,0.8221565909311578
2017-09-10,0.7840217999990583
2017-09-11,0.8579876240219468
2017-09-12,0.8653020767134147
2017-09-13,0.7883613756174674
2017-09-14,0.5694496751631667
2017-09-15,0.6697169600913957
2017-09-16,0.6734762805938401
2017-09-17,0.6614635065990626
2017-09-18,0.7602023241113262
2017-09-19,0.6691336114856702
2017-09-20,0.6299081913374472
2017-09-21,0.5878599913265589
2017-09-22,0.598973368944094
2017-09-23,0.6450510208546077
2017-09-24,0.6567734151044068
2017-09-25,0.7735630571967889
2017-09-26,0.7305610080745544
2017-09-27,0.9734104598712003
2017-09-28,1.1697767019494503
2017-09-29,1.0719945823948462
2017-09-30,1.0866745221505842
2017-10-01,1.292793044875954
2017-10-02,1.6747676607755817
2017-10-03,1.5500596368128123
2017-10-04,1.3623819712221445
2017-10-05,1.4330146356069857
2017-10-06,1.3465524928847978
2017-10-07,1.3502514048385912
2017-10-08,1.036646195153243
2017-10-09,1.195724006405884
2017-10-10,1.1796139677702029
2017-10-11,1.2085728788822023
2017-10-12,1.135987838008557
2017-10-13,1.2142446274645255
2017-10-14,1.301125027245625
2017-10-15,1.3191467496330451
2017-10-16,1.2215533781318477
2017-10-17,1.1809261147005636
2017-10-18,1.1256231541186446
2017-10-19,1.0842420940540836
2017-10-20,1.0539930360300842
2017-10-21,1.064287546807433
2017-10-22,1.0326442333920505
2017-10-23,1.0070869544137797
2017-10-24,1.0617707209190477
2017-10-25,1.0600608907025928
2017-10-26,1.0386731215628122
2017-10-27,1.011526559978251
2017-10-28,0.9929100699789518
2017-10-29,1.06956485220709
2017-10-30,1.1265087520649468
2017-10-31,1.1268475262169857
2017-11-01,1.0850090782445716
2017-11-02,1.1147967454887702
2017-11-03,1.2571896715477227
2017-11-04,1.4105281277693775
2017-11-05,1.3100817652031926
2017-11-06,1.3521016414159335
2017-11-07,1.5574101179116184
2017-11-08,1.751936449643032
2017-11-09,1.7094023547466526
2017-11-10,1.5406327295454618
2017-11-11,1.432281573620299
2017-11-12,1.3033362236480976
2017-11-13,1.446128780780705
2017-11-14,1.3509033512792086
2017-11-15,1.2989729981818239
2017-11-16,1.3397180845830978
2017-11-17,1.2807258564552702
2017-11-18,1.419765959559916
2017-11-19,1.375176828365708
2017-11-20,1.3841598230555665
2017-11-21,1.340766578557341
2017-11-22,1.3642712093073643
2017-11-23,1.3070301080375837
2017-11-24,1.4398239883972832
2017-11-25,1.5707208844462264
2017-11-26,1.5537268239693998
2017-11-27,1.6322077041672123
2017-11-28,1.6180874124561748
2017-11-29,1.477835007788883
2017-11-30,1.6784081841380802
2017-12-01,1.7412986854837502
2017-12-02,1.7530154676531229
2017-12-03,1.8785847665166404
2017-12-04,2.099671279047015
2017-12-05,2.1938292131722226
2017-12-06,2.1922146009615178
2017-12-07,2.3614932921238183
2017-12-08,2.4062139734205283
2017-12-09,2.218998641799154
2017-12-10,2.1104530174973117
2017-12-11,2.2986412048339844
2017-12-12,2.2866451580858893
2017-12-13,2.34716121471182
2017-12-14,2.6828096174962943
2017-12-15,3.400399946208873
2017-12-16,3.96923924725911
2017-12-17,4.90225671980802
2017-12-18,4.766061250760622
2017-12-19,4.893823748063542
2017-12-20,4.358179613206386
2017-12-21,4.370578671885712
2017-12-22,3.6570381794488984
2017-12-23,4.081352872833229
2017-12-24,4.4612422494933375
2017-12-25,5.5260803271500825
2017-12-26,7.6159074721548725
2017-12-27,8.493991386630935
2017-12-28,7.807530093925943
2017-12-29,7.342114055820527
2017-12-30,6.5363538626950355
2017-12-31,7.19511753279971
2018-01-01,7.00691973441387
2018-01-02,7.327560286905011
2018-01-03,7.93995011557548
2018-01-04,7.636325386612644
2018-01-05,12.402061929249232
2018-01-06,18.922347819484028
2018-01-07,15.499542507606755
2018-01-08,15.256830560144142
2018-01-09,14.598642059630656
2018-01-10,14.546884547113525
2018-01-11,17.475873942233015
2018-01-12,18.3010492360805
2018-01-13,18.184681260939676
2018-01-14,17.044544611141465
2018-01-15,15.951650365245523
2018-01-16,11.321841941777533
2018-01-17,11.662041497882418
2018-01-18,11.673669808047153
2018-01-19,12.226350568905595
